place,time,polarity,subjectivity
Alabama,2020-08-11,0.061250000000000006,0.4408333333333333
Alabama,2020-08-12,0.11577380952380954,0.5577380952380951
Alabama,2020-08-13,0.23914141414141413,0.5121843434343434
Alabama,2020-08-14,-0.015909090909090904,0.4803030303030303
Alabama,2020-08-15,0.23954545454545453,0.5037878787878788
Alabama,2020-08-16,0.10119047619047618,0.5583333333333333
Alabama,2020-08-17,0.07873376623376624,0.2505411255411255
Alabama,2020-08-18,0.15773809523809526,0.4975340136054422
Alabama,2020-08-19,0.08644781144781144,0.45096801346801346
Alabama,2020-08-20,0.18966942148760332,0.45723140495867765
Alabama,2020-08-21,0.13375,0.4725
Alabama,2020-08-22,0.029675925925925918,0.5471296296296296
Alabama,2020-08-23,0.16904761904761906,0.42916666666666664
